entry_id,Publisher Name,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
mkt_001,Google - Global,fly to nice,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unavailable,$1.25,15,$14.31,$0.95,380,3.95%,1.85,0.00%,$0.00,$0.00,$14.31,0
mkt_002,Yahoo - US,munich airport,Advanced,Western Europe Destinations,Munich,uncategorized,,Paused,$6.25,1,$5.71,$5.71,25,4.00%,1.84,0.00%,$0.00,$0.00,$5.71,0
mkt_003,Overture - Global,chicago to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Sent,$0.45,14,$5.99,$0.43,"2,315",0.60%,4.48,0.00%,$0.00,$0.00,$5.99,0
mkt_005,Yahoo - US,discount international airfare,Advanced,Geo Targeted Los Angeles,Discount International Los Angeles,uncategorized,,Paused,$6.25,9,$22.04,$2.45,86,10.47%,1.42,0.00%,$0.00,$0.00,$22.04,0
mkt_006,Google - US,cont:google_yearlong 2006::google|marrakech,N/A,Google_Yearlong 2006,Google|marrakech,uncategorized,,Unavailable,$7.50,1,$4.63,$4.63,19,5.26%,1.53,0.00%,$0.00,$0.00,$4.63,0
mkt_007,Google - US,air france,Broad,Air France Branded,Air France Brand,uncategorized,,Live,$27.50,"29,060","$46,188.44",$1.59,"385,476",7.54%,1.44,0.77%,$206.20,"$290,609.90","$46,188.44",224
mkt_008,Yahoo - US,bargain europe flight,Advanced,Geo Targeted Boston,Bargain Europe Boston,uncategorized,,Paused,$6.25,1,$1.50,$1.50,1,100.00%,1.00,0.00%,$0.00,$0.00,$1.50,0
mkt_009,Overture - US,airplane tiket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Paused,$0.13,2,$1.13,$0.56,59,3.39%,1.75,0.00%,$0.00,$0.00,$1.13,0
mkt_010,Overture - Global,boston paris flight,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75,3,$0.80,$0.27,23,13.04%,0.96,0.00%,$0.00,$0.00,$0.80,0
mkt_011,Google - US,stuttgart fare,Broad,Google_Yearlong 2006,Google|Stuttgart,stuttgart,Position 5-10 Bid Strategy,Paused,$6.25,1,$1.89,$1.89,12,8.33%,1.00,0.00%,$0.00,$0.00,$1.89,0
mkt_012,Overture - Global,montpellier airport,Standard,Unassigned,Unassigned,montpellier,Position 1-2 Target,Paused,$0.28,10,$2.58,$0.26,577,1.73%,2.25,0.00%,$0.00,$0.00,$2.58,0
mkt_013,Overture - US,airline ticket to france,Standard,Unassigned,Unassigned,france,Position 1-4 Bid Strategy,Paused,$1.26,14,$10.26,$0.73,225,6.22%,2.10,7.14%,$10.26,$991.10,$10.26,1
mkt_014,Overture - US,cheap flight to frankfurt,Advanced,Unassigned,Unassigned,frankfurt,Position 5-10 Bid Strategy,Paused,$1.25,48,$46.44,$0.97,"1,001",4.80%,1.83,0.00%,$0.00,$0.00,$46.44,0
mkt_015,Google - US,rome plane tickets,Broad,Google_Yearlong 2006,Google|Rome,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$1.69,$1.69,14,7.14%,1.71,0.00%,$0.00,$0.00,$1.69,0
mkt_016,Google - US,barcelona airport,Broad,Google_Yearlong 2006,Google|Barcelona,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$4.30,$4.30,"1,854",0.05%,1.99,0.00%,$0.00,$0.00,$4.30,0
mkt_017,Google - US,barcelona airlines,Broad,Google_Yearlong 2006,Google|Barcelona,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,93,$253.21,$2.72,"2,704",3.44%,2.13,0.00%,$0.00,$0.00,$253.21,0
mkt_018,Google - US,marseille flights,Broad,French Destinations,Marseille,uncategorized,Position 2-5 Bid Strategy,Paused,$10.00,43,$101.04,$2.35,359,11.98%,1.16,0.00%,$0.00,$0.00,$101.04,0
mkt_019,Google - US,europe tickets,Broad,Geo Targeted New York,Europe New York,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,2,$3.75,$1.88,66,3.03%,2.86,0.00%,$0.00,$0.00,$3.75,0
mkt_020,Google - Global,air france website,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unavailable,$5.00,38,$26.37,$0.69,138,27.54%,1.05,0.00%,$0.00,$0.00,$26.37,0
